acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DSNY,,,Lighting System Upgrade,52-35 58th St,"Queens West 2, 3, 4, 6 District Garage",Design,,Retrofit
DSNY,0.00,30-Jun-11,Energy Audit,58-00 52nd Road,"Queens West 2,3,4,6 District Garage",Completed,10-Dec-10,None
,1351.01,,Comprehensive,161 Varick Ave Brooklyn NY,Brooklyn North 1/4 District Garage,Design,,Retrofit
DSNY,1351.01,15-Jun-12,Energy Audit,161 Varick Ave. Brooklyn NY,"Brooklyn 1,4 District Garages",Completed,02-Feb-12,None
,,,Energy Audit,58-50 57th Road,,Completed,,None
DPR,102.23,,Energy Audit,1 Bronx River Pkwy,Ranaqua Garage And Shops - 1 Bronx River Pkwy,Completed,21-Feb-12,None
DPR,132.41,24-Feb-11,Energy Audit,Baisley Blvd & Merrick Blvd,Roy Wilkins Recreation Center,Completed,10-Nov-10,None
DPR,,,Lighting System Upgrade,598 Christopher Ave,Brownsville Recreation Center,Design,,Retrofit
DPR,,30-Jun-11,Energy Audit,598 Christopher Ave,Brownsville Recreation Center,Completed,16-Dec-10,None
DPR,,,Comprehensive,430 West 25th St,Chelsea Recreation Center,Design,,Retrofit
DPR,0.00,30-Jun-11,Energy Audit,430-44 West 25th Street,Chelsea Recreation Center,Completed,16-Dec-10,None
,,,Energy Audit,,,Completed,,None
FDNY,397.97,02-Jul-12,Energy Audit,Fort Totten Bayside NY,Fort Totten,Completed,06-Jun-12,None
DOE,98.81,,Comprehensive,965 Longwood Avenue,P.S.39X,Design,,Retrofit
FDNY,,02-Jul-12,Energy Audit,Randals Island New York  10035,Randals Island Fire Academy,Completed,15-Jun-12,None
HRA,267.20,,Comprehensive,413 East 120 Street,East Harlem Multi-Service Ctr,Cancelled,,Retrofit
HRA,,30-Jun-11,Energy Audit,413 East 120 Street,East Harlem Multi-Service Ctr,Completed,10-Nov-10,None
NYPD,,,Energy Audit,2820 Snyder Avenue,NYPD 67th Precinct & Eng Co 248,Completed,,None
NYPD,23.76,,Comprehensive,830 4th Avenue Brooklyn NY 11232,NYPD 72nd Precinct,Design,,Retrofit
NYPD,23.76,14-May-12,Energy Audit,830 4th Avenue Brooklyn NY 11232,NYPD 72nd Precinct,Completed,04-Jan-12,None
NYPD,42.72,15-Jun-12,Energy Audit,30 Ralph Ave Brooklyn NY,81st Precinct,Completed,06-Feb-12,None
NYPD,,,Energy Audit,235 E 21TH ST,,Completed,,None
NYPD,0.00,30-Jun-11,Energy Audit,53-15 58th Street,NYPD CRS,Completed,18-Jan-11,None
DCAS,137.50,,Energy Audit,301 Gold St,84th Precinct & Engine Company 207,Completed,,None
NYPD,113.17,11-May-11,Energy Audit,245 Glenmore Ave,Brooklyn North Narcotics Division,Completed,21-Jan-11,None
NYPD,22.92,,Comprehensive,450 CROSS BRONX EXPWY BRONX NY,48th Precinct,Design,,Retrofit
NYPD,22.92,15-Jun-12,Energy Audit,450 CROSS BRONX EXPWY BRONX NY,48th Precinct,Completed,06-Feb-12,None
NYPD,66.37,,Comprehensive,470 EAST NEW YORK AVENUE,73rd Precinct,Design,,Retrofit
NYPD,66.37,03-Apr-12,Energy Audit,470 EAST NEW YORK AVENUE,73rd Precinct,Completed,09-Jan-12,None
DEP1,,,Other,,,Install,,
DEP1,,,Other,,Dep Centrifuge Upgrade - Hunts Point Waste Water Treatment Plant,Undefined,,
DEP1,,,HVAC System Upgrade,Shore Pkwy & 66th St. Owl's Head WPCP,Dep Engine Generator Conversion - Owls Head Waste Water Treatment Plant,Undefined,,
DEP1,,,Other,,,Proposed,,Retrofit
DEP1,,,Other,,,Proposed,,Retrofit
DFTA,23.32,21-Jul-11,Lighting System Upgrade,312 E. 109th Street,Leonard Covello Senior Center,Completed,20-Jan-11,Retrofit
DFTA,30.61,,Comprehensive,312 East 109th Street,Leonard Covello Senior Center,Design,,Retrofit
ACS,105.27,30-Jun-10,HVAC System Upgrade,55 St. Anns Ave (560 Brook),Horizon Juvenile Center - 560 Brook Avenue,Completed,30-Apr-10,Retrofit
ACS,86.05,30-Jun-10,Lighting System Upgrade,17 Bristol Street,Crossroads Juvenile Center,Completed,30-Apr-10,Retrofit
DOC,,31-Jul-09,Other,,Rikers Island Co-Generation Plant 30% Design,Completed,15-Jan-08,Cogen
DOC,1834.84,01-Aug-12,HVAC System Upgrade,8 hazen st east elmhurst,Rikers Island Laundry Water Recycling System,Completed,,Retrofit
DOC,,31-Mar-10,Other,,Rikers Island Co-Generation Plant 100% Design,Design,31-Jul-09,Cogen
DOC,37546.28,,HVAC System Upgrade,,Rikers Island Co-Generation Plant Construction,Install,13-Sep-11,Cogen
DOE,235.57,05-May-09,Lighting System Upgrade,439 WEST 49TH ST,H.S. Of Graphic Communication Arts,Completed,27-Jun-08,Retrofit
DOE,123.87,25-Mar-09,Lighting System Upgrade,"CROTONA AVE & E 187TH ST GRACE DODGE VHS, 2474 Crotona Avenue",Grace H. Dodge Vocational High School,Completed,13-May-08,Retrofit
DOE,50.16,25-Mar-09,Lighting System Upgrade,"1900 SEDGWICK AVE, 1950 Sedgwick Avenue",P.S. 226X Annex,Completed,13-May-08,Retrofit
DOE,148.75,25-Mar-09,Lighting System Upgrade,1930 ANDREWS AVE,P.S. 396X / M.S. 390X,Completed,13-May-08,Retrofit
DOE,53.40,07-May-09,Lighting System Upgrade,"448 WEST 56TH ST, 444 West 56th Street",H.S. For Environmental Science,Completed,05-Sep-08,Retrofit
DOE,64.17,07-Oct-08,Lighting System Upgrade,2475 Southern Boulevard,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,Completed,13-May-08,Retrofit
DOE,21.30,07-Oct-08,Lighting System Upgrade,2375 Southern Boulevard,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,Completed,13-May-08,Retrofit
DOE,60.54,09-Mar-09,Lighting System Upgrade,"61 West 183rd Street, 2280 Aqueduct Avenue",P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),Completed,13-May-08,Retrofit
DOE,74.78,09-Mar-09,Lighting System Upgrade,2220 Aqueduct Avenue,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),Completed,13-May-08,Retrofit
DOE,90.41,09-Mar-09,Lighting System Upgrade,2195 Andrews Ave,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),Completed,13-May-08,Retrofit
DOE,54.80,10-Aug-09,Lighting System Upgrade,260 West Kingsbridge Road,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,Completed,06-Jun-08,Retrofit
DOE,68.10,05-Feb-09,Lighting System Upgrade,"579 E. 179th St., 577 E. 179th Street",P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,Completed,06-Jun-08,Retrofit
DOE,66.70,10-Jun-09,Lighting System Upgrade,2641 Grand Concourse,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,Completed,06-Jun-08,Retrofit
DOE,48.90,27-Feb-09,Lighting System Upgrade,159-15 88th Street,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),Completed,23-Apr-08,Retrofit
DOE,43.31,27-Feb-09,Lighting System Upgrade,153-23 83rd Street,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),Completed,23-Apr-08,Retrofit
DOE,68.80,27-Feb-09,Lighting System Upgrade,90-15 Sutter Ave,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),Completed,23-Apr-08,Retrofit
,314.26,20-Mar-08,Lighting System Upgrade,,,Completed,,Retrofit
DOE,37.67,19-Sep-08,HVAC System Upgrade,"1314 Putnam Avenue, 2120 Raymond Avenue",P.S. 123K / P.S. 377K / P.S. 106K,Completed,06-Mar-08,Retrofit
DOE,68.80,19-Sep-08,Lighting System Upgrade,"100 Irving Avenue, 1025 Morrison Avenue",P.S. 123K / P.S. 377K / P.S. 106K,Completed,06-Mar-08,Retrofit
DOE,101.35,19-Sep-08,HVAC System Upgrade,200 Woodbine St.,P.S. 123K / P.S. 377K / P.S. 106K,Completed,06-Mar-08,Retrofit
DOE,63.66,15-May-09,Lighting System Upgrade,317 W. 52nd St.,P.S. 58M (The Man. Schl)/FK Onassis (Sch For Intl Careers),Completed,05-Sep-08,Retrofit
DOE,177.14,28-Jul-09,Lighting System Upgrade,"Address 1
INNIS ST & ST JOSEPHS AV PT RICHMOND H S, 85 St. Josephs Avenue",Port Richmond H.S.,Completed,23-Jan-09,Retrofit
DOE,445.19,18-Mar-10,Lighting System Upgrade,44-46 VERNON BOULEVARD,Bureau Of Supplies,Completed,05-Mar-09,Retrofit
DOE,89.09,13-Jan-10,Lighting System Upgrade,525 WEST 50TH STREET,Park West High School,Completed,05-Sep-08,Retrofit
DOE,179.68,30-Sep-09,Lighting System Upgrade,67-01 110th Street,Q440 - Forest Hills High School,Completed,01-May-09,Retrofit
DOE,54.99,22-Jun-10,Lighting System Upgrade,141-11 Holly Avenue,P.S. 24Q,Completed,29-Dec-09,Retrofit
