average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
25.5,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,4,102,GEN ED,M650,Cascades High School,,-,28,24
26.0,M,Economics,SOCIAL STUDIES,1,STARS,09-12,3,78,GEN ED,M650,Cascades High School,,-,32,23
25.3,M,Participation in Government,SOCIAL STUDIES,1,STARS,09-12,3,76,GEN ED,M650,Cascades High School,,-,28,21
12.0,M,Other Social Studies,SOCIAL STUDIES,1,STARS,09-12,2,24,GEN ED,M650,Cascades High School,,-,12,12
,M,,,1,,,,,,M650,Cascades High School,15.5,,,
21.1,M,English 9,ENGLISH,1,STARS,09-12,15,316,GEN ED,M696,Bard High School Early College,,-,26,15
20.6,M,English 10,ENGLISH,1,STARS,09-12,13,268,GEN ED,M696,Bard High School Early College,,-,24,17
23.5,M,Other English,ENGLISH,1,STARS,09-12,6,141,GEN ED,M696,Bard High School Early College,,-,26,22
24.0,M,Math A,MATH,1,STARS,09-12,7,168,GEN ED,M696,Bard High School Early College,,-,26,21
19.2,M,Math B,MATH,1,STARS,09-12,5,96,GEN ED,M696,Bard High School Early College,,-,25,15
23.0,M,Other Math,MATH,1,STARS,09-12,2,46,GEN ED,M696,Bard High School Early College,,-,24,22
20.1,M,Chemistry,SCIENCE,1,STARS,09-12,14,282,GEN ED,M696,Bard High School Early College,,-,24,15
22.9,M,Physics,SCIENCE,1,STARS,09-12,14,320,GEN ED,M696,Bard High School Early College,,-,25,17
21.6,M,Other Science,SCIENCE,1,STARS,09-12,21,454,GEN ED,M696,Bard High School Early College,,-,24,18
16.9,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,8,135,GEN ED,M696,Bard High School Early College,,-,18,15
21.9,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,8,175,GEN ED,M696,Bard High School Early College,,-,25,18
16.9,M,Other Social Studies,SOCIAL STUDIES,1,STARS,09-12,10,169,GEN ED,M696,Bard High School Early College,,-,24,11
,M,,,1,,,,,,M696,Bard High School Early College,16.8,,,
31.0,M,-,-,1,ATS,06,3,93,GEN ED,M839,Tompkins Square Middle School,,-,31,31
32.0,M,-,-,1,ATS,06,1,32,CTT,M839,Tompkins Square Middle School,,-,32,32
30.0,M,-,-,1,ATS,07,3,90,GEN ED,M839,Tompkins Square Middle School,,-,30,30
32.0,M,-,-,1,ATS,07,1,32,CTT,M839,Tompkins Square Middle School,,-,32,32
30.0,M,-,-,1,ATS,08,3,90,GEN ED,M839,Tompkins Square Middle School,,-,30,30
32.0,M,-,-,1,ATS,08,1,32,CTT,M839,Tompkins Square Middle School,,-,32,32
11.0,M,-,-,1,ATS,0K-09,1,11,SPEC ED,M839,Tompkins Square Middle School,,12:1,11,11
10.0,M,-,-,1,ATS,0K-09,1,10,SPEC ED,M839,Tompkins Square Middle School,,12:1:1,10,10
,M,,,1,,,,,,M839,Tompkins Square Middle School,13.5,,,
21.7,M,-,-,2,ATS,0K,3,65,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,23,21
20.3,M,-,-,2,ATS,01,4,81,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,21,20
17.7,M,-,-,2,ATS,02,3,53,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,18,17
22.0,M,-,-,2,ATS,02,1,22,CTT,M001,P.S. 001 Alfred E. Smith,,-,22,22
19.0,M,-,-,2,ATS,03,3,57,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,19,19
18.0,M,-,-,2,ATS,03,1,18,CTT,M001,P.S. 001 Alfred E. Smith,,-,18,18
21.7,M,-,-,2,ATS,04,3,65,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,23,20
28.7,M,-,-,2,ATS,05,3,86,GEN ED,M001,P.S. 001 Alfred E. Smith,,-,30,27
12.0,M,-,-,2,ATS,0K-09,2,24,SPEC ED,M001,P.S. 001 Alfred E. Smith,,12:1:1,13,11
,M,,,2,,,,,,M001,P.S. 001 Alfred E. Smith,13.8,,,
20.4,M,-,-,2,ATS,0K,5,102,GEN ED,M002,P.S. 002 Meyer London,,-,22,19
21.0,M,-,-,2,ATS,0K,1,21,CTT,M002,P.S. 002 Meyer London,,-,21,21
20.4,M,-,-,2,ATS,01,5,102,GEN ED,M002,P.S. 002 Meyer London,,-,22,19
22.8,M,-,-,2,ATS,02,5,114,GEN ED,M002,P.S. 002 Meyer London,,-,24,20
23.0,M,-,-,2,ATS,02,1,23,CTT,M002,P.S. 002 Meyer London,,-,23,23
22.2,M,-,-,2,ATS,03,5,111,GEN ED,M002,P.S. 002 Meyer London,,-,25,21
21.0,M,-,-,2,ATS,03,1,21,CTT,M002,P.S. 002 Meyer London,,-,21,21
22.2,M,-,-,2,ATS,04,5,111,GEN ED,M002,P.S. 002 Meyer London,,-,24,19
24.0,M,-,-,2,ATS,04,1,24,CTT,M002,P.S. 002 Meyer London,,-,24,24
28.5,M,-,-,2,ATS,05,4,114,GEN ED,M002,P.S. 002 Meyer London,,-,31,23
25.0,M,-,-,2,ATS,05,1,25,CTT,M002,P.S. 002 Meyer London,,-,25,25
10.5,M,-,-,2,ATS,0K-09,2,21,SPEC ED,M002,P.S. 002 Meyer London,,12:1:1,11,10
,M,,,2,,,,,,M002,P.S. 002 Meyer London,12.2,,,
23.0,M,-,-,2,ATS,01,1,23,GEN ED,M003,P.S. 003 Charrette School,,-,23,23
31.0,M,-,-,2,ATS,04,1,31,GEN ED,M003,P.S. 003 Charrette School,,-,31,31
31.0,M,-,-,2,ATS,04,1,31,CTT,M003,P.S. 003 Charrette School,,-,31,31
29.5,M,-,-,2,ATS,05,2,59,GEN ED,M003,P.S. 003 Charrette School,,-,30,29
26.0,M,-,-,2,ATS,05,1,26,CTT,M003,P.S. 003 Charrette School,,-,26,26
10.5,M,-,-,2,ATS,0K-09,2,21,SPEC ED,M003,P.S. 003 Charrette School,,12:1:1,12,9
,M,,,2,,,,,,M003,P.S. 003 Charrette School,15.2,,,
26.6,M,-,-,2,ATS,0K,5,133,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,27,26
27.0,M,-,-,2,ATS,0K,1,27,CTT,M006,P.S. 006 Lillie D. Blake,,-,27,27
25.5,M,-,-,2,ATS,01,4,102,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,26,25
